level1,level2,level3,level4,level5,level6,ru,abstract,counts,also,correlated,anti-correlated,description
,,,Grunge,,,Гранж,False,"108,68,29,16,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Progressive rock"": ""0.80"", ""Punk rock"": ""0.71"", ""Rock and roll"": ""0.61"", ""Heavy metal"": ""0.47"", ""Roll"": ""0.43"", ""Psychedelic rock"": ""0.42"", ""Independent music"": ""0.42"", ""Exciting music"": ""0.33"", ""Angry music"": ""0.30""}",{},"A subgenre of alternative rock that emerged during the mid-1980s fusing elements of punk rock and heavy metal, such as distorted electric guitars. Lyrics are typically angst-filled, addressing themes such as social alienation, apathy, confinement, and a desire for freedom."
,,,Progressive rock,,,Прогрессивный рок,False,"216,73,37,18,6,12,5,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Grunge"": ""0.80"", ""Punk rock"": ""0.79"", ""Heavy metal"": ""0.74"", ""Rock and roll"": ""0.64"", ""Angry music"": ""0.46"", ""Psychedelic rock"": ""0.41"", ""Roll"": ""0.40"", ""Exciting music"": ""0.34"", ""Independent music"": ""0.31"", ""Electric guitar"": ""0.31""}",{},"A rock music subgenre that developed in the late 1960s as an attempt to give greater artistic credibility to rock music. Songs were replaced by musical suites that often stretched to 20 or 40 minutes in length and contained symphonic influences, extended musical themes, fantasy-like ambience and lyrics, and complex orchestrations."
,,,Rock and roll,,,Рок-н-ролл,False,"190,40,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Roll"": ""0.87"", ""Punk rock"": ""0.69"", ""Progressive rock"": ""0.64"", ""Grunge"": ""0.61"", ""Psychedelic rock"": ""0.47"", ""Heavy metal"": ""0.47"", ""Exciting music"": ""0.45"", ""Blues"": ""0.40"", ""Independent music"": ""0.38"", ""Ska"": ""0.36"", ""Electric guitar"": ""0.34""}",{},"A genre of popular music that originated and evolved in the United States during the late 1940s and early 1950s, from a combination of African-American genres such as blues, boogie-woogie, jump blues, jazz, and gospel music, together with Western swing and country music."
,,,Psychedelic rock,,,Психоделический рок,False,"103,36,9,9,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Roll"": ""0.51"", ""Rock and roll"": ""0.47"", ""Ska"": ""0.43"", ""Grunge"": ""0.42"", ""Progressive rock"": ""0.41"", ""Blues"": ""0.38"", ""Punk rock"": ""0.36"", ""Independent music"": ""0.34""}",{},"A style of rock music influenced by psychedelic culture and attempts to replicate and enhance the mind-altering experiences of psychedelic drugs, most notably LSD. It often uses new recording techniques and effects and sometimes draws on sources such as the ragas and drones of Indian music."
,,Rhythm and blues,,,,Ритм-н-блюз,False,"187,49,18,13,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Pop music"": ""0.58"", ""Soul music"": ""0.55"", ""Exciting music"": ""0.51"", ""Independent music"": ""0.48"", ""Hip hop music"": ""0.46"", ""Funk"": ""0.46"", ""Happy music"": ""0.43"", ""Song"": ""0.41"", ""Zing"": ""0.38"", ""Reggae"": ""0.36"", ""Soundtrack music"": ""0.35"", ""Dance music"": ""0.33"", ""Rapping"": ""0.32""}","{""Speech"": ""-0.31""}","A genre of popular African-American music that originated in the 1940s as urbane, rocking, jazz based music with a heavy, insistent beat. Lyrics focus heavily on the themes of triumphs and failures in terms of relationships, freedom, economics, aspirations, and sex."
,,Soul music,,,,Соул-музыка,False,"195,46,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Happy music"": ""0.64"", ""Rhythm and blues"": ""0.55"", ""Funk"": ""0.54"", ""Independent music"": ""0.52"", ""Tender music"": ""0.41"", ""Reggae"": ""0.41"", ""Song"": ""0.40"", ""Blues"": ""0.37"", ""Pop music"": ""0.36"", ""Jingle (music)"": ""0.34"", ""Christmas music"": ""0.34"", ""Exciting music"": ""0.33"", ""Background music"": ""0.31"", ""Ska"": ""0.31"", ""Soundtrack music"": ""0.30""}","{""Speech"": ""-0.33""}","A popular music genre that combines elements of African-American gospel music, rhythm and blues and jazz."
,,Reggae,,,,Регги,False,"63,13,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Funk"": ""0.45"", ""Music of Africa"": ""0.44"", ""Afrobeat"": ""0.42"", ""Soul music"": ""0.41"", ""Song"": ""0.40"", ""Hip hop music"": ""0.36"", ""Rhythm and blues"": ""0.36"", ""Ska"": ""0.33"", ""Funny music"": ""0.33""}",{},"A music genre that originated in Jamaica in the late 1960s, strongly influenced by traditional mento as well as American jazz and rhythm and blues, instantly recognizable from the counterpoint between the bass and drum downbeat, and the offbeat rhythm section."
,,Country,,,,Кантри,False,"339,123,85,45,25,14,13,4,1,0,1,0,0,0,0,0,0,0,0",,"{""Blues"": ""0.57"", ""Song"": ""0.52"", ""Male singing"": ""0.50"", ""Singing"": ""0.48"", ""Guitar"": ""0.48"", ""Plucked string instrument"": ""0.45"", ""Banjo"": ""0.45"", ""Musical instrument"": ""0.43"", ""Strum"": ""0.40"", ""Acoustic guitar"": ""0.37"", ""Independent music"": ""0.34""}",{},"A genre of United States popular music with origins in folk, Blues and Western music, often consisting of ballads and dance tunes with generally simple forms and harmonies accompanied by mostly string instruments such as banjos, electric and acoustic guitars, dobros, and fiddles as well as harmonicas."
,,,Swing music,,,Свинг,False,"116,34,16,10,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Jazz"": ""0.61"", ""Ska"": ""0.45"", ""Saxophone"": ""0.44"", ""Funny music"": ""0.31""}",{},"A form of American music that dominated in the 1930s and 1940s, using a strong rhythm section of double bass and drums as the anchor, a lead section of brass, woodwind, and sometimes stringed instruments, medium to fast tempos, and a ""lilting"" swing time rhythm."
,,,Bluegrass,,,Блюграсс,False,"194,91,41,35,10,10,4,2,0,3,1,0,0,0,0,0,0,0,0",,"{""Banjo"": ""0.65"", ""Blues"": ""0.40"", ""Male singing"": ""0.39"", ""Guitar"": ""0.38"", ""Song"": ""0.38"", ""Singing"": ""0.37"", ""Plucked string instrument"": ""0.37"", ""Musical instrument"": ""0.36""}",{},"A form of American roots music from the Appalachias with mixed roots in Irish, Scottish, Welsh, and English traditional music, later influenced by the music of African-Americans through incorporation of jazz elements."
,,Funk,,,,Фанк,False,"124,22,13,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Disco"": ""0.59"", ""Soul music"": ""0.54"", ""Exciting music"": ""0.50"", ""Rhythm and blues"": ""0.46"", ""Reggae"": ""0.45"", ""Pop music"": ""0.40"", ""Happy music"": ""0.35"", ""Ska"": ""0.35"", ""Sampler"": ""0.33"", ""Dance music"": ""0.32"", ""Independent music"": ""0.31""}",{},"A music genre that originated in the 1960s when African American musicians created a rhythmic, danceable new form of music that de-emphasized melody and chord progressions to bring a strong rhythmic groove of a bass line and drum part to the foreground."
,,Folk music,,,,Фолк-музыка,False,"74,12,10,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Middle Eastern music"": ""0.76"", ""Traditional music"": ""0.70"", ""Tabla"": ""0.45"", ""Music of Bollywood"": ""0.42"", ""Song"": ""0.41"", ""Music of Latin America"": ""0.33"", ""Singing"": ""0.32""}",{},A genre that evolved from traditional music during the 20th century folk revival. One meaning often given is that of old songs with no known composers; another is music that has been transmitted and evolved by a process of oral transmission or performed by custom over a long period of time.
,,Middle Eastern music,,,,Музыка Ближнего Востока,False,"39,15,2,3,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0",,"{""Folk music"": ""0.76"", ""Traditional music"": ""0.48"", ""Music of Bollywood"": ""0.45"", ""Tabla"": ""0.42"", ""Song"": ""0.37"", ""Carnatic music"": ""0.33""}",{},"Music originating from the vast region from Morocco to Iran, including the Arabic countries of the Middle East and North Africa, the Iraqi traditions of Mesopotamia, Iranian traditions of Persia, the Hebrew music of Israel, Armenian music, the varied traditions of Cypriot music, the music of Turkey, traditional Assyrian music, Berbers of North Africa, and Coptic Christians in Egypt."
,,Jazz,,,,Джаз,False,"98,46,24,3,3,5,5,2,0,0,0,0,0,0,0,0,0,0,0",,"{""Saxophone"": ""0.65"", ""Swing music"": ""0.61"", ""Blues"": ""0.41"", ""Musical instrument"": ""0.35"", ""Brass instrument"": ""0.35""}",{},"A music genre that originated from African American communities of New Orleans during the late 19th and early 20th centuries in the form of independent traditional and popular musical styles, all linked by the common bonds of African American and European American musical parentage with a performance orientation."
,,Disco,,,,Диско,False,"224,42,13,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0",,"{""Dance music"": ""0.74"", ""House music"": ""0.70"", ""Exciting music"": ""0.62"", ""Funk"": ""0.59"", ""Techno"": ""0.48"", ""Electronica"": ""0.47"", ""Pop music"": ""0.46"", ""Electronic music"": ""0.43"", ""Trance music"": ""0.38"", ""Sampler"": ""0.34"", ""Electronic dance music"": ""0.34"", ""Soundtrack music"": ""0.34""}",{},"A genre of dance music containing elements of funk, soul, pop, and salsa that achieved popularity during the mid-1970s to the early 1980s."
,,Classical music,,,,Классическая музыка,False,"185,57,20,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Orchestra"": ""0.82"", ""Bowed string instrument"": ""0.56"", ""Violin, fiddle"": ""0.52"", ""String section"": ""0.48"", ""Cello"": ""0.48"", ""Musical instrument"": ""0.41"", ""Piano"": ""0.37"", ""French horn"": ""0.37"", ""Double bass"": ""0.34"", ""Brass instrument"": ""0.33"", ""Wedding music"": ""0.32"", ""Keyboard (musical)"": ""0.32"", ""Trombone"": ""0.30""}",{},"Art music produced or rooted in the traditions of Western music, including both liturgical and secular music, over the broad span of time from roughly the 11th century to the present day."
,,,Opera,,,Опера,False,"85,25,20,6,13,6,4,1,2,3,2,0,1,2,0,0,1,1,0",,"{""Orchestra"": ""0.49""}",{},"An art form in which singers and musicians perform a dramatic work combining text and musical score, usually in a theatrical setting."
,,Electronic music,,,,Электронная музыка,False,"1144,420,169,91,55,51,6,5,2,1,0,0,0,0,0,0,0,0,0",,"{""Sampler"": ""0.61"", ""Dance music"": ""0.50"", ""Exciting music"": ""0.49"", ""Soundtrack music"": ""0.45"", ""Disco"": ""0.43"", ""Synthesizer"": ""0.32"", ""Pop music"": ""0.32"", ""Drum machine"": ""0.32""}","{""Speech"": ""-0.34""}",A large set of predominantly popular and dance genres in which synthesizers and other electronic instruments are the primary sources of sound.
,,,House music,,,Хаус-музыка,False,"305,60,29,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Electronica"": ""0.78"", ""Dance music"": ""0.76"", ""Techno"": ""0.75"", ""Electronic dance music"": ""0.72"", ""Disco"": ""0.70"", ""Trance music"": ""0.68"", ""Exciting music"": ""0.56"", ""Sampler"": ""0.49"", ""Pop music"": ""0.36"", ""Soundtrack music"": ""0.36"", ""Dubstep"": ""0.31""}",{},"A genre of electronic dance music originating in Chicago in the early 1980s which is generally dance-based music characterized by repetitive 4/4 beats, rhythms mainly provided by drum machines, off-beat hi-hat cymbals, and synthesized basslines."
,,,Techno,,,Техно,False,"397,81,34,14,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Trance music"": ""0.84"", ""Electronica"": ""0.77"", ""House music"": ""0.75"", ""Electronic dance music"": ""0.62"", ""Dance music"": ""0.55"", ""Exciting music"": ""0.55"", ""Sampler"": ""0.50"", ""Disco"": ""0.48"", ""Soundtrack music"": ""0.43"", ""Dubstep"": ""0.34""}",{},"A form of electronic dance music that emerged in Detroit during the mid-to-late 1980s, resulting from the melding of African American music including with electronic music by artists such as Kraftwerk, Giorgio Moroder, and Yellow Magic Orchestra."
,,,Dubstep,,,Дабстеп,False,"511,143,61,34,25,16,44,7,3,4,1,1,0,1,0,0,0,0,0",,"{""Drum and bass"": ""0.63"", ""Electronic dance music"": ""0.41"", ""Electronica"": ""0.39"", ""Sampler"": ""0.35"", ""Techno"": ""0.34"", ""House music"": ""0.31""}",{},"A genre of electronic dance music that originated in South London in the late 1990s which generally features sparse, syncopated drum and percussion patterns with bass lines that contain prominent sub bass frequencies."
,,,Drum and bass,,,Драм-н-бэйс,False,"180,58,57,20,10,9,2,3,0,2,2,1,0,0,0,0,0,0,0",,"{""Dubstep"": ""0.63"", ""Electronic dance music"": ""0.33"", ""Electronica"": ""0.33""}",{},"A genre of electronic music that emerged from rave and oldschool jungle scenes in England during the early 1990s characterized by fast, syncopated breakbeats with heavy bass and sub-bass lines, sampled sources, and synthesizers."
,,,Electronica,,,Электроника,False,"438,91,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""House music"": ""0.78"", ""Techno"": ""0.77"", ""Trance music"": ""0.74"", ""Sampler"": ""0.66"", ""Exciting music"": ""0.55"", ""Electronic dance music"": ""0.54"", ""Dance music"": ""0.50"", ""Disco"": ""0.47"", ""Soundtrack music"": ""0.46"", ""Dubstep"": ""0.39"", ""Drum machine"": ""0.36"", ""Drum and bass"": ""0.33"", ""Synthesizer"": ""0.31""}",{},"An umbrella term that encompasses a broad group of electronic-based styles such as techno, house, ambient, drum and bass, jungle, and industrial dance, among others."
,,,Electronic dance music,,,Электронная танцевальная музыка,False,"247,97,32,26,11,7,3,3,1,0,0,0,0,0,0,0,0,0,0",,"{""House music"": ""0.72"", ""Techno"": ""0.62"", ""Trance music"": ""0.58"", ""Electronica"": ""0.54"", ""Dance music"": ""0.53"", ""Dubstep"": ""0.41"", ""Exciting music"": ""0.37"", ""Disco"": ""0.34"", ""Drum and bass"": ""0.33"", ""Zing"": ""0.30""}",{},"A broad range of percussive electronic music genres including techno, house, trance, drum and bass, dubstep, and Jersey club produced largely for nightclubs, raves, and festivals, or by disc jockeys in the context of a live mix."
,,,Ambient music,,,Эмбиент-музыка,False,"924,195,95,57,40,21,11,11,9,9,8,5,1,1,2,0,0,0,0",,"{""New-age music"": ""0.58"", ""Singing bowl"": ""0.33""}",{},A genre of music that developed in England in the 1970s from experimental and synthesizer-oriented styles which puts an emphasis on tone and atmosphere over traditional musical structure or rhythm.
,,,Trance music,,,Транс-музыка,False,"360,96,36,19,12,6,1,2,1,0,0,0,0,0,0,0,0,0,0",,"{""Techno"": ""0.84"", ""Electronica"": ""0.74"", ""House music"": ""0.68"", ""Electronic dance music"": ""0.58"", ""Dance music"": ""0.50"", ""Exciting music"": ""0.43"", ""Soundtrack music"": ""0.38"", ""Disco"": ""0.38"", ""Sampler"": ""0.34""}",{},"A genre of electronic dance music that developed in Germany during the 1990s characterized by a tempo between 125 and 150 beats per minute, repeating melodic phrases, and a musical form that distinctly builds tension throughout a track by mixing layers with distinctly foreshadowed build-up and release."
,,Music of Latin America,,,,Музыка Латинской Америки,False,"43,8,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Singing"": ""0.41"", ""Song"": ""0.34"", ""Folk music"": ""0.33""}",{},"Music originating from Latin America which encompasses a wide variety of styles, including son, rumba, salsa, merengue, tango, samba, and bossa nova."
,,,Salsa music,,,Сальса,False,"27,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"A genre of music that is based largely on Cuban, Puerto Rican, and Dominican popular dance music, occasionally incorporating elements of rock, R&B, and funk."
,,,Flamenco,,,Фламенко,False,"180,43,15,9,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Acoustic guitar"": ""0.50"", ""Guitar"": ""0.48"", ""Plucked string instrument"": ""0.47"", ""Strum"": ""0.45"", ""Musical instrument"": ""0.39"", ""Zither"": ""0.35""}",{},"A genre originating in Andalusian music and dance styles which includes cante, toque, baile, jaleo, palmas, and pitos."
,,Blues,,,,Блюз,False,"137,17,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Guitar"": ""0.61"", ""Steel guitar, slide guitar"": ""0.58"", ""Plucked string instrument"": ""0.58"", ""Country"": ""0.57"", ""Musical instrument"": ""0.56"", ""Electric guitar"": ""0.50"", ""Strum"": ""0.48"", ""Independent music"": ""0.45"", ""Song"": ""0.45"", ""Jazz"": ""0.41"", ""Bluegrass"": ""0.40"", ""Rock and roll"": ""0.40"", ""Psychedelic rock"": ""0.38"", ""Acoustic guitar"": ""0.38"", ""Roll"": ""0.38"", ""Soul music"": ""0.37"", ""Singing"": ""0.37"", ""Tapping (guitar technique)"": ""0.36"", ""Happy music"": ""0.35"", ""Bass guitar"": ""0.34"", ""Ska"": ""0.32"", ""Exciting music"": ""0.31"", ""Rock music"": ""0.30""}",{},"A genre and musical form developed by African Americans in the United States around the end of the 19th century from African-American work songs and European-American folk music. The blues form, ubiquitous in jazz and rock and roll, is characterized by the call-and-response pattern, the blues scale and specific chord progressions, of which the twelve-bar blues is the most common. Blues shuffles or walking bass reinforce the trance-like rhythm and form a repetitive groove effect."
,,Music for children,,,,Музыка для детей,False,"218,101,60,43,46,20,10,10,7,6,3,0,0,0,1,0,0,0,0",,"{""Boing"": ""0.48"", ""Jingle, tinkle"": ""0.39"", ""Ding"": ""0.31""}",{},"Music performed for children, often designed to provide an entertaining means of teaching about cultures, good behavior, facts, and skills."
,,New-age music,,,,Нью-эйдж-музыка,False,"865,257,132,71,42,23,13,8,10,5,5,1,5,2,1,4,0,0,0",,"{""Sad music"": ""0.58"", ""Ambient music"": ""0.58"", ""Tender music"": ""0.48"", ""Background music"": ""0.43""}",{},"A genre of music intended to create artistic inspiration, relaxation, and optimism used by listeners for yoga, massage, meditation, and reading as a method of stress management or to create a peaceful atmosphere. Includes both electronic and acoustic forms."
,,Vocal music,,,,Вокальная музыка,False,"104,23,21,9,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Singing"": ""0.54"", ""Choir"": ""0.52"", ""Gospel music"": ""0.38"", ""Song"": ""0.33"", ""Male singing"": ""0.32""}",{},"Music performed by one or more singers, with or without instrumental accompaniment, in which singing provides the main focus of the piece."
,,,Chant,,,Распев,False,"123,62,31,18,11,25,23,9,7,3,5,1,0,0,0,0,0,0,0","""Human sounds/Human voice/Singing/Chant""","{""A capella"": ""0.51"", ""Choir"": ""0.42""}",{},"The rhythmic speaking or singing of words or sounds, often primarily on one or two main pitches called reciting tones."
,,,,Mantra,,Мантра,False,"212,77,39,45,20,16,13,7,10,16,10,6,3,3,1,0,0,0,0","""Human sounds/Human voice/Singing/Chant/Mantra""",{},{},A melodic sacred utterance believed to have spiritual powers.
,,,Beatboxing,,,Битбоксинг,False,"51,5,3,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0","""Music/Music genre/Hip hop music/Beatboxing""","{""Scratching (performance technique)"": ""0.37""}",{},"A form of vocal percussion primarily involving the art of mimicking drum machines using one's mouth, lips, tongue, and voice."
,,,A capella,,,A capella,False,"42,11,8,3,5,3,4,2,5,1,0,0,0,0,0,0,0,0,0",,"{""Choir"": ""0.59"", ""Chant"": ""0.51"", ""Singing"": ""0.31""}",{},Group or solo singing without instrumental accompaniment.
,,Music of Africa,,,,Музыка Африки,False,"70,31,16,8,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Reggae"": ""0.44"", ""Song"": ""0.38"", ""Dance music"": ""0.32"", ""Exciting music"": ""0.30""}",{},"Music whose style or form clearly indicates African origin or primarily African influence. Given the vastness of the continent, this covers many distinct musical traditions. Sub-Saharan African music frequently relies on percussion instruments including xylophones, drums, and tone-producing instruments such as the mbira or ""thumb piano."""
,,,Afrobeat,,,Афробит,False,"67,21,18,5,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0",,"{""Reggae"": ""0.42"", ""Dance music"": ""0.39"", ""Exciting music"": ""0.31""}",{},"A combination of traditional Nigerian music, Ghanaian music, jazz, highlife, funk, and chanted vocals, fused with percussion and vocal styles, popularised in Africa in the 1970s."
,,Christian music,,,,Христианская музыка,False,"150,58,34,26,10,11,9,5,6,1,0,0,0,0,0,0,0,0,0",,"{""Christmas music"": ""0.85"", ""Jingle (music)"": ""0.54"", ""Singing"": ""0.43"", ""Happy music"": ""0.41"", ""Choir"": ""0.36"", ""Song"": ""0.33""}",{},"Music that has been written to express either personal or a communal belief regarding Christian life and faith. Its forms vary widely across the world, according to culture and social context."
,,,Gospel music,,,Госпел-музыка,False,"119,42,19,14,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Christmas music"": ""0.61"", ""Singing"": ""0.57"", ""Choir"": ""0.56"", ""Song"": ""0.42"", ""Jingle (music)"": ""0.40"", ""Vocal music"": ""0.38"", ""Happy music"": ""0.37""}",{},"A genre of Christian music usually featuring dominant vocals with Christian lyrics. Gospel music is rooted in the black oral tradition, in which hymns and sacred songs were repeated in call and response fashion, with hand clapping and foot stomping as rhythmic accompaniment."
,,Music of Asia,,,,Музыка Азии,False,"103,24,9,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Pop music"": ""0.74"", ""Song"": ""0.41"", ""Singing"": ""0.34"", ""Exciting music"": ""0.32""}",{},"Musical styles originating from a large number of Asian countries located in Central, Southern, and East Asia."
,,,Carnatic music,,,Карнатик-музыка,False,"30,7,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Tabla"": ""0.68"", ""Sitar"": ""0.46"", ""Middle Eastern music"": ""0.33""}",{},"A system of music commonly associated with the southern India, whose main emphasis is on vocal music. Although improvisation plays an important role, Carnatic music is mainly sung through compositions."
,,,Music of Bollywood,,,Музыка Болливуда,False,"44,11,8,5,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0",,"{""Middle Eastern music"": ""0.45"", ""Folk music"": ""0.42"", ""Song"": ""0.30""}",{},"Hindi film songs featured in Bollywood films. Bollywood songs, along with dance, are a characteristic motif of Hindi cinema which gives it enduring popular appeal, cultural value, and context."
,,Ska,,,,Ска,False,"47,9,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Swing music"": ""0.45"", ""Psychedelic rock"": ""0.43"", ""Roll"": ""0.41"", ""Rock and roll"": ""0.36"", ""Funk"": ""0.35"", ""Reggae"": ""0.33"", ""Blues"": ""0.32"", ""Song"": ""0.31"", ""Soul music"": ""0.31""}",{},"A music genre that originated in Jamaica in the late 1950s, combining elements of Caribbean mento and calypso with American jazz and rhythm and blues. It is characterized by a walking bass line accented with rhythms on the off-beat."
,,Traditional music,,,,Традиционная музыка,False,"54,16,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Folk music"": ""0.70"", ""Accordion"": ""0.49"", ""Middle Eastern music"": ""0.48"", ""Tabla"": ""0.30""}",{},"Musical forms that have origins many generations into the past, commonly without formal notation or description, commonly familiar to people in a given culture."
,,Independent music,,,,Независимая музыка,False,"136,29,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Happy music"": ""0.55"", ""Soul music"": ""0.52"", ""Song"": ""0.50"", ""Rhythm and blues"": ""0.48"", ""Pop music"": ""0.45"", ""Blues"": ""0.45"", ""Exciting music"": ""0.44"", ""Grunge"": ""0.42"", ""Roll"": ""0.39"", ""Rock and roll"": ""0.38"", ""Singing"": ""0.34"", ""Country"": ""0.34"", ""Psychedelic rock"": ""0.34"", ""Rock music"": ""0.34"", ""Tender music"": ""0.32"", ""Progressive rock"": ""0.31"", ""Funk"": ""0.31"", ""Soundtrack music"": ""0.30""}",{},"Music produced independent of major commercial record labels, possibly including a do-it-yourself approach to recording and publishing. The term indie is also used to describe music of this style regardless of actual production channel."
,Musical concepts,,,,,,True,,,,,Portmanteau class for descriptions of music sounds that reflect their abstract music-theoretical properties rather than their physical realizations.
,,Song,,,,Песня,False,"50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Singing"": ""0.72"", ""Pop music"": ""0.54"", ""Country"": ""0.52"", ""Male singing"": ""0.52"", ""Independent music"": ""0.50"", ""Happy music"": ""0.45"", ""Blues"": ""0.45"", ""Gospel music"": ""0.42"", ""Exciting music"": ""0.42"", ""Music of Asia"": ""0.41"", ""Folk music"": ""0.41"", ""Rhythm and blues"": ""0.41"", ""Reggae"": ""0.40"", ""Soul music"": ""0.40"", ""Music of Africa"": ""0.38"", ""Bluegrass"": ""0.38"", ""Middle Eastern music"": ""0.37"", ""Jingle (music)"": ""0.36"", ""Christmas music"": ""0.34"", ""Music of Latin America"": ""0.34"", ""Vocal music"": ""0.33"", ""Dance music"": ""0.33"", ""Christian music"": ""0.33"", ""Guitar"": ""0.31"", ""Funny music"": ""0.31"", ""Musical instrument"": ""0.31"", ""Ska"": ""0.31"", ""Yodeling"": ""0.31"", ""Music of Bollywood"": ""0.30""}","{""Speech"": ""-0.35""}",A musical work intended to be sung by the human voice with distinct and fixed pitches and patterns using sound and silence and a variety of forms that often include the repetition of sections.
,Music role,,,,,,True,,,,,"Portmanteau class for categories that describe music according to its functional role. Although the genre and instrumentation of examples of each of these classes may vary widely, a listener will be able to recognize that the music is being used for a common specific purpose as stated in each class definition."
,,Background music,,,,Фоновая музыка,False,"610,151,53,21,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Soundtrack music"": ""0.73"", ""Tender music"": ""0.73"", ""Theme music"": ""0.63"", ""Sad music"": ""0.57"", ""Video game music"": ""0.54"", ""New-age music"": ""0.43"", ""Wedding music"": ""0.40"", ""Exciting music"": ""0.38"", ""Harmonic"": ""0.38"", ""Happy music"": ""0.36"", ""Soul music"": ""0.31""}","{""Speech"": ""-0.34""}",Styles of music or soundscapes primarily intended to be listened to passively and not meant to be the main focus of an audience.
,,Theme music,,,,Тематическая музыка,False,"412,82,52,29,13,8,6,6,2,4,0,1,0,0,0,0,0,0,0",,"{""Soundtrack music"": ""0.64"", ""Background music"": ""0.63"", ""Video game music"": ""0.55"", ""Tender music"": ""0.32""}",{},"Music often written specifically for a radio program, television program, video game, or movie, and usually played during the intro, opening credits, and/or ending credits."
,,Jingle (music),,,,Джингл (музыка),False,"81,28,15,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Christmas music"": ""0.64"", ""Happy music"": ""0.54"", ""Christian music"": ""0.54"", ""Gospel music"": ""0.40"", ""Funny music"": ""0.37"", ""Song"": ""0.36"", ""Soul music"": ""0.34"", ""Pop music"": ""0.33""}",{},A short song or tune used in advertising and for other commercial uses. The jingle contains one or more hooks that explicitly promote the product or service being advertised.
,,Soundtrack music,,,,Музыка для саундтреков,False,"311,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Background music"": ""0.73"", ""Video game music"": ""0.69"", ""Exciting music"": ""0.65"", ""Theme music"": ""0.64"", ""Electronica"": ""0.46"", ""Tender music"": ""0.46"", ""Electronic music"": ""0.45"", ""Techno"": ""0.43"", ""Funny music"": ""0.42"", ""Happy music"": ""0.40"", ""Dance music"": ""0.39"", ""Trance music"": ""0.38"", ""Sampler"": ""0.38"", ""House music"": ""0.36"", ""Scary music"": ""0.36"", ""Rhythm and blues"": ""0.35"", ""Disco"": ""0.34"", ""Pop music"": ""0.34"", ""Sad music"": ""0.33"", ""Soul music"": ""0.30"", ""Independent music"": ""0.30""}","{""Speech"": ""-0.48""}","Recorded music accompanying a movie, video, TV show, video game, or the like. Although any music can be used in a soundtrack, this specifically refers to music that suggests its use to accompany images, rather than something that happens to have been used that way."
,,Lullaby,,,,Колыбельная,False,"157,31,18,16,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Tender music"": ""0.45"", ""Humming"": ""0.41"", ""Sad music"": ""0.34""}",{},The act of singing a quiet song to lull a child to sleep.
,,Video game music,,,,Музыка для видеоигр,False,"217,50,20,15,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0",,"{""Soundtrack music"": ""0.69"", ""Theme music"": ""0.55"", ""Background music"": ""0.54"", ""Funny music"": ""0.43"", ""Exciting music"": ""0.38""}",{},"The soundtrack that accompanies video games. Early video game music was once limited to simple melodies of early sound synthesizer technology; with advances in technology, video game music has now grown to include the same breadth and complexity associated with television and movie soundtracks."
